,set_num,name,year,theme_id,num_parts,price_mean_N,price_min_N,price_max_N,set_qty_N,currency_N
0,001-1,Gears,1965,1,43,0.0000,0.0000,0.0000,0,USD
1,0011-2,Town Mini-Figures,1978,84,12,0.0000,0.0000,0.0000,0,USD
2,0011-3,Castle 2 for 1 Bonus Offer,1987,199,0,0.0000,0.0000,0.0000,0,USD
3,0012-1,Space Mini-Figures,1979,143,12,0.0000,0.0000,0.0000,0,USD
4,0013-1,Space Mini-Figures,1979,143,12,0.0000,0.0000,0.0000,0,USD
5,0014-1,Space Mini-Figures,1979,143,12,0.0000,0.0000,0.0000,0,USD
6,0015-1,Space Mini-Figures,1979,143,18,0.0000,0.0000,0.0000,0,USD
7,0016-1,Castle Mini Figures,1978,186,15,0.0000,0.0000,0.0000,0,USD
8,002-1,4.5V Samsonite Gears Motor Set,1965,1,3,0.0000,0.0000,0.0000,0,USD
9,003-1,Master Mechanic Set,1966,366,403,0.0000,0.0000,0.0000,0,USD
10,005-1,Basic Building Set in Cardboard,1965,366,35,0.0000,0.0000,0.0000,0,USD
11,005-2,Discovery Set,1967,366,0,0.0000,0.0000,0.0000,0,USD
12,00-6,Special Offer,1985,67,0,0.0000,0.0000,0.0000,0,USD
13,010-1,Basic Building Set in Cardboard,1965,366,57,0.0000,0.0000,0.0000,0,USD
14,010-3,Basic Building Set,1968,366,77,0.0000,0.0000,0.0000,0,USD
15,011-1,Basic Building Set,1968,366,145,0.0000,0.0000,0.0000,0,USD
16,021-1,Wheel Set,1966,366,183,0.0000,0.0000,0.0000,0,USD
17,022-1,Basic Building Set,1968,366,110,0.0000,0.0000,0.0000,0,USD
18,0241199312-1,DC Super Heroes: Character Encyclopedia,2016,497,7,0.0,0.0,0.0,0.0,none
19,0241357594-1,Star Wars Build Your Own Adventure: Galactic Missions,2019,497,0,0.0,0.0,0.0,0.0,none
20,0241363764-1,"NINJAGO Visual Dictionary, New Edition",2019,497,5,0.0,0.0,0.0,0.0,none
21,028-1,Nursery Furniture,1979,652,7,0.0000,0.0000,0.0000,0,USD
22,030-2,Building Set,1973,505,29,0.0000,0.0000,0.0000,0,USD
23,03093-1,The Race to Build It Board Game,1999,502,72,0.0,0.0,0.0,0.0,none
24,032-1,Living Room,1979,652,14,0.0000,0.0000,0.0000,0,USD
25,033-1,Farm Animals,1979,632,21,0.0000,0.0000,0.0000,0,USD
26,033-2,Basic Building Set,1968,366,177,0.0000,0.0000,0.0000,0,USD
27,041-1,Pre-School Beginners Set,1964,440,24,0.0000,0.0000,0.0000,0,USD
28,041-2,Playhouse,1979,652,1,0.0000,0.0000,0.0000,0,USD
29,042-1,Jumbo Brick Pull Toy,1966,440,9,0.0000,0.0000,0.0000,0,USD
30,044-1,Basic Building Set,1968,366,225,165.6266,165.6266,165.6266,1,USD
31,044-2,Jumbo Bricks,1969,440,30,0.0000,0.0000,0.0000,0,USD
32,045-1,Farm,1979,632,66,0.0000,0.0000,0.0000,0,USD
33,050-2,Lighting Device Pack,1969,371,4,0.0000,0.0000,0.0000,0,USD
34,051-1,Assorted Basic Bricks - Red,1966,371,50,0.0000,0.0000,0.0000,0,USD
35,052-1,Assorted Basic Bricks - White,1966,371,50,0.0000,0.0000,0.0000,0,USD
36,053-1,Assorted Basic Bricks - Blue,1966,371,50,0.0000,0.0000,0.0000,0,USD
37,054-1,Assorted Basic Bricks - Yellow,1966,371,50,0.0000,0.0000,0.0000,0,USD
38,055-1,Trees & Bushes,1966,371,25,0.0000,0.0000,0.0000,0,USD
39,055-2,Basic Building Set,1968,366,256,0.0000,0.0000,0.0000,0,USD
40,057-1,Large Wheels,1966,371,17,0.0000,0.0000,0.0000,0,USD
41,058-1,Small Wheels,1966,371,26,0.0000,0.0000,0.0000,0,USD
42,060-1,Assorted White Plates,1966,371,15,0.0000,0.0000,0.0000,0,USD
43,060-3,Jumbo Brick School Set,1968,440,60,0.0000,0.0000,0.0000,0,USD
44,061-1,Five Large Base Plates - Green,1966,371,5,0.0000,0.0000,0.0000,0,USD
45,062-1,Five Large Base Plates - White,1966,371,5,0.0000,0.0000,0.0000,0,USD
46,063-1,Five Large Base Plates - Blue,1966,371,5,0.0000,0.0000,0.0000,0,USD
47,063-2,Ducks,1978,505,18,0.0000,0.0000,0.0000,0,USD
48,065-1,Two Garage Door Kits,1969,371,6,0.0000,0.0000,0.0000,0,USD
49,066-1,Basic Building Set,1968,366,407,0.0000,0.0000,0.0000,0,USD
50,071-1,Block Box,1979,505,24,0.0000,0.0000,0.0000,0,USD
51,074-1,Pre-School Set,1976,505,20,60.0000,60.0000,60.0000,1,USD
52,075-1,Pre-School Set,1975,505,17,0.0000,0.0000,0.0000,0,USD
53,0751359483-1,The Ultimate LEGO Book,1999,497,0,0.0,0.0,0.0,0.0,none
54,0756668530-1,Atlantis: Brickmaster,2010,497,157,0.0,0.0,0.0,0.0,none
55,0756672805-1,Pirates: Brickmaster,2009,497,162,0.0,0.0,0.0,0.0,none
56,0756672813-1,Castle: Brickmaster,2009,497,141,0.0,0.0,0.0,0.0,none
57,0756682762-1,Ninjago Brickmaster,2011,497,154,0.0,0.0,0.0,0.0,none
58,0756692571-1,Harry Potter Characters of the Magical World,2012,497,4,0.0,0.0,0.0,0.0,none
59,0756698126-1,Ninjago: Character Encyclopedia,2012,497,5,0.0,0.0,0.0,0.0,none
60,077-1,Pre-School Set,1975,505,21,0.0000,0.0000,0.0000,0,USD
61,078-1,Roadway Base Plate,1970,371,0,0.0000,0.0000,0.0000,0,USD
62,080-1,Basic Building Set with Train,1967,366,712,0.0000,0.0000,0.0000,0,USD
63,080-2,Ambassador Set,1967,366,712,0.0000,0.0000,0.0000,0,USD
64,080-3,Police Station,1976,505,25,0.0000,0.0000,0.0000,0,USD
65,082-1,Legoville,1976,505,63,0.0000,0.0000,0.0000,0,USD
66,086-1,Tub Boat,1978,632,3,0.0000,0.0000,0.0000,0,USD
67,088-1,Super Set,1969,469,615,2000.0000,2000.0000,2000.0000,1,USD
68,10000-1,Guarded Inn,2001,199,256,262.5159,199.0000,352.2405,14,USD
69,1000-1,Mosaic Set,1985,516,190,0.0000,0.0000,0.0000,0,USD
70,10001-1,Metroliner,2001,233,787,1477.5102,899.9900,3640.4192,5,USD
71,10002-1,Railroad Club Car,2001,233,293,562.7118,380.0000,1456.1633,9,USD
72,10003-1,1 x 2 Sand Red Bricks,2001,254,100,117.2162,117.2162,117.2162,3,USD
73,10004-1,2 x 2 Sand Red Bricks,2001,254,100,58.6022,58.0161,59.1882,7,USD
74,10005-1,2 x 4 Sand Red Bricks,2001,254,50,0.0000,0.0000,0.0000,0,USD
75,10006-1,1 x 6 Sand Red Bricks,2001,254,50,68.1679,52.5555,76.9483,7,USD
76,10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25,15.5748,7.9500,28.7743,35,USD
77,10008-1,2 x 4 Roof Tile Sand Red,2001,254,50,75.0000,75.0000,75.0000,2,USD
78,10009-1,Assorted Blue Bricks,2001,254,62,23.8622,8.2880,39.4364,2,USD
79,100-1,4.5V Motor with Wheels (Small Version),1966,243,16,0.0000,0.0000,0.0000,0,USD
80,10010-1,Assorted Yellow Bricks,2003,254,63,21.1906,8.2880,39.8917,5,USD
81,10011-1,Assorted Blue Plates,2001,254,42,14.6486,8.2880,26.0858,6,USD
82,10012-1,Assorted Yellow Plates,2001,254,42,21.3120,21.3120,21.3120,3,USD
83,10013-1,Open Freight Wagon,2001,238,121,88.2348,50.6700,355.2005,36,USD
84,10014-1,Caboose,2001,238,170,98.7933,76.9601,159.9500,12,USD
85,10015-1,Passenger Wagon,2001,238,194,90.8152,72.0000,159.9500,100,USD
86,10016-1,Tanker,2001,238,128,122.8308,82.8683,188.5747,23,USD
87,10017-1,Hopper Wagon,2001,238,228,112.8620,71.0283,355.2005,29,USD
88,10018-1,Darth Maul,2001,171,1868,2024.4156,1262.6969,2948.1638,9,USD
89,10019-1,Rebel Blockade Runner - UCS,2001,171,1748,1794.3007,1599.0000,1995.0000,4,USD
90,100-2,4.5V Motor with Wheels (Large Version),1966,243,27,0.0000,0.0000,0.0000,0,USD
91,10020-1,Santa Fe Super Chief,2002,236,427,535.6744,230.8803,2131.2028,14,USD
92,10020-2,Santa Fe Super Chief - Limited Edition,2002,236,433,588.6932,444.0006,899.0000,18,USD
93,10021-1,U.S.S. Constellation,2003,404,974,236.5625,200.0000,262.5691,6,USD
