,set_num,name,year,theme_id,num_parts,price_mean,price_min,price_max,set_qty,currency
0,001-1,Gears,1965,1,43,50.1337,28.0415,75.0000,3,USD
1,0011-2,Town Mini-Figures,1978,84,12,16.8157,15.8716,17.7598,2,USD
2,0011-3,Castle 2 for 1 Bonus Offer,1987,199,0,0.0000,0.0000,0.0000,0,USD
3,0012-1,Space Mini-Figures,1979,143,12,0.0000,0.0000,0.0000,0,USD
4,0013-1,Space Mini-Figures,1979,143,12,0.0000,0.0000,0.0000,0,USD
5,0014-1,Space Mini-Figures,1979,143,12,0.0000,0.0000,0.0000,0,USD
6,0015-1,Space Mini-Figures,1979,143,18,0.0000,0.0000,0.0000,0,USD
7,0016-1,Castle Mini Figures,1978,186,15,41.2786,39.6636,42.8935,2,USD
8,002-1,4.5V Samsonite Gears Motor Set,1965,1,3,98.1197,50.0000,115.0000,4,USD
9,003-1,Master Mechanic Set,1966,366,403,0.0000,0.0000,0.0000,0,USD
10,005-1,Basic Building Set in Cardboard,1965,366,35,0.0000,0.0000,0.0000,0,USD
11,005-2,Discovery Set,1967,366,0,0.0000,0.0000,0.0000,0,USD
12,00-6,Special Offer,1985,67,0,0.0000,0.0000,0.0000,0,USD
13,010-1,Basic Building Set in Cardboard,1965,366,57,71.4376,41.4396,125.9873,3,USD
14,010-3,Basic Building Set,1968,366,77,0.0000,0.0000,0.0000,0,USD
15,011-1,Basic Building Set,1968,366,145,15.9838,15.9838,15.9838,1,USD
16,021-1,Wheel Set,1966,366,183,0.0000,0.0000,0.0000,0,USD
17,022-1,Basic Building Set,1968,366,110,59.1876,35.5078,82.8673,2,USD
18,0241199312-1,DC Super Heroes: Character Encyclopedia,2016,497,7,0.0,0.0,0.0,0.0,none
19,0241357594-1,Star Wars Build Your Own Adventure: Galactic Missions,2019,497,0,0.0,0.0,0.0,0.0,none
20,0241363764-1,"NINJAGO Visual Dictionary, New Edition",2019,497,5,0.0,0.0,0.0,0.0,none
21,028-1,Nursery Furniture,1979,652,7,10.7393,8.8799,12.5987,2,USD
22,030-2,Building Set,1973,505,29,0.0000,0.0000,0.0000,0,USD
23,03093-1,The Race to Build It Board Game,1999,502,72,0.0,0.0,0.0,0.0,none
24,032-1,Living Room,1979,652,14,0.0000,0.0000,0.0000,0,USD
25,033-1,Farm Animals,1979,632,21,0.0000,0.0000,0.0000,0,USD
26,033-2,Basic Building Set,1968,366,177,0.0000,0.0000,0.0000,0,USD
27,041-1,Pre-School Beginners Set,1964,440,24,0.0000,0.0000,0.0000,0,USD
28,041-2,Playhouse,1979,652,1,0.0000,0.0000,0.0000,0,USD
29,042-1,Jumbo Brick Pull Toy,1966,440,9,0.0000,0.0000,0.0000,0,USD
30,044-1,Basic Building Set,1968,366,225,53.2794,53.2794,53.2794,1,USD
31,044-2,Jumbo Bricks,1969,440,30,0.0000,0.0000,0.0000,0,USD
32,045-1,Farm,1979,632,66,0.0000,0.0000,0.0000,0,USD
33,050-2,Lighting Device Pack,1969,371,4,0.0000,0.0000,0.0000,0,USD
34,051-1,Assorted Basic Bricks - Red,1966,371,50,0.0000,0.0000,0.0000,0,USD
35,052-1,Assorted Basic Bricks - White,1966,371,50,0.0000,0.0000,0.0000,0,USD
36,053-1,Assorted Basic Bricks - Blue,1966,371,50,0.0000,0.0000,0.0000,0,USD
37,054-1,Assorted Basic Bricks - Yellow,1966,371,50,0.0000,0.0000,0.0000,0,USD
38,055-1,Trees & Bushes,1966,371,25,0.0000,0.0000,0.0000,0,USD
39,055-2,Basic Building Set,1968,366,256,51.5035,49.7275,53.2794,2,USD
40,057-1,Large Wheels,1966,371,17,0.0000,0.0000,0.0000,0,USD
41,058-1,Small Wheels,1966,371,26,0.0000,0.0000,0.0000,0,USD
42,060-1,Assorted White Plates,1966,371,15,0.0000,0.0000,0.0000,0,USD
43,060-3,Jumbo Brick School Set,1968,440,60,0.0000,0.0000,0.0000,0,USD
44,061-1,Five Large Base Plates - Green,1966,371,5,0.0000,0.0000,0.0000,0,USD
45,062-1,Five Large Base Plates - White,1966,371,5,0.0000,0.0000,0.0000,0,USD
46,063-1,Five Large Base Plates - Blue,1966,371,5,0.0000,0.0000,0.0000,0,USD
47,063-2,Ducks,1978,505,18,19.9739,19.9739,19.9739,1,USD
48,065-1,Two Garage Door Kits,1969,371,6,0.0000,0.0000,0.0000,0,USD
49,066-1,Basic Building Set,1968,366,407,300.0000,300.0000,300.0000,1,USD
50,071-1,Block Box,1979,505,24,0.0000,0.0000,0.0000,0,USD
51,074-1,Pre-School Set,1976,505,20,0.0000,0.0000,0.0000,0,USD
52,075-1,Pre-School Set,1975,505,17,0.0000,0.0000,0.0000,0,USD
53,0751359483-1,The Ultimate LEGO Book,1999,497,0,0.0,0.0,0.0,0.0,none
54,0756668530-1,Atlantis: Brickmaster,2010,497,157,0.0,0.0,0.0,0.0,none
55,0756672805-1,Pirates: Brickmaster,2009,497,162,0.0,0.0,0.0,0.0,none
56,0756672813-1,Castle: Brickmaster,2009,497,141,0.0,0.0,0.0,0.0,none
57,0756682762-1,Ninjago Brickmaster,2011,497,154,0.0,0.0,0.0,0.0,none
58,0756692571-1,Harry Potter Characters of the Magical World,2012,497,4,0.0,0.0,0.0,0.0,none
59,0756698126-1,Ninjago: Character Encyclopedia,2012,497,5,0.0,0.0,0.0,0.0,none
60,077-1,Pre-School Set,1975,505,21,0.0000,0.0000,0.0000,0,USD
61,078-1,Roadway Base Plate,1970,371,0,0.0000,0.0000,0.0000,0,USD
62,080-1,Basic Building Set with Train,1967,366,712,0.0000,0.0000,0.0000,0,USD
63,080-2,Ambassador Set,1967,366,712,0.0000,0.0000,0.0000,0,USD
64,080-3,Police Station,1976,505,25,47.2411,47.2411,47.2411,1,USD
65,082-1,Legoville,1976,505,63,65.7113,65.7113,65.7113,1,USD
66,086-1,Tub Boat,1978,632,3,0.0000,0.0000,0.0000,0,USD
67,088-1,Super Set,1969,469,615,153.6825,104.1909,189.4380,4,USD
68,10000-1,Guarded Inn,2001,199,256,0.0000,0.0000,0.0000,0,USD
69,1000-1,Mosaic Set,1985,516,190,0.0000,0.0000,0.0000,0,USD
70,10001-1,Metroliner,2001,233,787,387.1736,360.0000,435.0000,4,USD
71,10002-1,Railroad Club Car,2001,233,293,253.3350,228.3112,307.8367,10,USD
72,10003-1,1 x 2 Sand Red Bricks,2001,254,100,0.0000,0.0000,0.0000,0,USD
73,10004-1,2 x 2 Sand Red Bricks,2001,254,100,0.0000,0.0000,0.0000,0,USD
74,10005-1,2 x 4 Sand Red Bricks,2001,254,50,0.0000,0.0000,0.0000,0,USD
75,10006-1,1 x 6 Sand Red Bricks,2001,254,50,0.0000,0.0000,0.0000,0,USD
76,10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25,0.0000,0.0000,0.0000,0,USD
77,10008-1,2 x 4 Roof Tile Sand Red,2001,254,50,0.0000,0.0000,0.0000,0,USD
78,10009-1,Assorted Blue Bricks,2001,254,62,8.9600,5.9199,12.0000,2,USD
79,100-1,4.5V Motor with Wheels (Small Version),1966,243,16,64.4504,23.6679,105.2328,2,USD
80,10010-1,Assorted Yellow Bricks,2003,254,63,12.0000,12.0000,12.0000,1,USD
81,10011-1,Assorted Blue Plates,2001,254,42,8.2500,8.2500,8.2500,1,USD
82,10012-1,Assorted Yellow Plates,2001,254,42,12.0000,12.0000,12.0000,1,USD
83,10013-1,Open Freight Wagon,2001,238,121,54.4260,47.3595,65.0000,22,USD
84,10014-1,Caboose,2001,238,170,62.1281,49.9500,76.9000,12,USD
85,10015-1,Passenger Wagon,2001,238,194,71.7275,59.1994,81.2500,16,USD
86,10016-1,Tanker,2001,238,128,74.5735,67.4281,76.9592,5,USD
87,10017-1,Hopper Wagon,2001,238,228,61.6525,40.8169,85.0000,26,USD
88,10018-1,Darth Maul,2001,171,1868,621.9030,479.5149,700.0000,5,USD
89,10019-1,Rebel Blockade Runner - UCS,2001,171,1748,825.8359,500.0000,1775.9810,15,USD
90,100-2,4.5V Motor with Wheels (Large Version),1966,243,27,58.3572,40.5689,85.2471,10,USD
91,10020-1,Santa Fe Super Chief,2002,236,427,264.6801,212.1891,343.3563,10,USD
92,10020-2,Santa Fe Super Chief - Limited Edition,2002,236,433,301.0616,275.8691,331.5165,9,USD
93,10021-1,U.S.S. Constellation,2003,404,974,130.6279,82.0503,213.0585,9,USD
94,10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,237,410,289.4933,260.0000,414.3956,15,USD
95,10023-1,Master Builder Set,2002,324,111,92.3510,92.3510,92.3510,1,USD
96,10024-1,Red Baron,2002,673,669,233.9964,158.3236,414.3956,13,USD
97,10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,237,325,226.5323,211.9337,236.7856,3,USD
98,10026-1,Naboo Starfighter - UCS,2002,171,188,383.5187,249.9900,550.0000,12,USD
99,10027-1,Train Engine Shed,2003,239,670,425.0202,314.9900,590.8097,10,USD
100,10029-1,Lunar Lander,2003,387,469,228.8498,201.3235,254.5573,7,USD
101,10030-1,Imperial Star Destroyer - UCS,2002,171,3115,993.2993,531.2040,1537.9996,37,USD
102,10036-1,Pizza To Go,2002,75,151,61.7532,51.1975,72.0000,5,USD
103,10037-1,Breezeway Cafe,2002,75,195,70.0631,59.1994,86.0000,3,USD
104,10039-1,Black Falcon's Fortress,2002,187,431,243.2595,222.2200,277.6085,3,USD
105,10040-1,Black Seas Barracuda,2002,147,916,564.4386,436.0836,757.2321,3,USD
106,10041-1,Main Street,2003,85,639,145.1167,119.0000,171.2334,2,USD
107,10042-1,American Flag,2003,206,35,5.9678,5.9678,5.9678,1,USD
108,10043-1,2x2 Electrical Plate,2002,254,1,8.2647,7.2940,9.0000,3,USD
109,10044-1,Windows and Doors,2002,254,44,0.0000,0.0000,0.0000,0,USD
110,10045-1,Pillars and Beams,2002,254,13,0.0000,0.0000,0.0000,0,USD
111,10046-1,Brown Tiles,2002,254,100,21.3118,21.3118,21.3118,2,USD
112,10047-1,Light Gray Arches,2002,254,36,12.0000,12.0000,12.0000,1,USD
113,10048-1,Small Wheels and Axles,2002,254,61,0.0000,0.0000,0.0000,0,USD
114,10049-1,Large Wheels and Axles,2002,254,31,0.0000,0.0000,0.0000,0,USD
115,10050-1,Gray Fences,2002,254,34,0.0000,0.0000,0.0000,0,USD
116,10051-1,Transparent Bricks,2002,254,50,0.0000,0.0000,0.0000,0,USD
117,10052-1,Intelligent Locomotive (Explore),2003,634,5,0.0000,0.0000,0.0000,0,USD
118,10053-1,Black Slopes 33,2003,254,44,0.0000,0.0000,0.0000,0,USD
119,10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68,0.0000,0.0000,0.0000,0,USD
120,10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003,254,50,0.0000,0.0000,0.0000,0,USD
121,10056-1,White Plates 2 x n,2002,254,56,0.0000,0.0000,0.0000,0,USD
122,10057-1,Black Plates 2 x n,2002,254,56,12.0000,12.0000,12.0000,1,USD
123,10058-1,Red Plates 2 x n,2002,254,56,0.0000,0.0000,0.0000,0,USD
124,10059-1,Dark Green Plates 2 x n,2002,254,56,0.0000,0.0000,0.0000,0,USD
125,10060-1,Light Gray Plates 2 x n,2002,254,56,0.0000,0.0000,0.0000,0,USD
126,10061-1,Black Plates 1 x n,2002,254,84,12.0000,12.0000,12.0000,1,USD
127,10062-1,Red Plates 1 x n,2002,254,84,0.0000,0.0000,0.0000,0,USD
128,10063-1,Dark Green Plates 1 x n,2002,254,84,0.0000,0.0000,0.0000,0,USD
129,10064-1,Light Gray Plates 1 x n,2002,254,84,0.0000,0.0000,0.0000,0,USD
130,10065-1,White Plates 1 x n,2002,254,84,0.0000,0.0000,0.0000,0,USD
131,10066-1,Castle Accessories,2002,255,41,0.0000,0.0000,0.0000,0,USD
132,10067-1,Mini-Fig Headgear,2002,254,53,0.0000,0.0000,0.0000,0,USD
133,10068-1,Santa Claus,2002,227,39,5.0400,3.4900,6.0000,5,USD
134,10069-1,Christmas Tree,2002,227,33,6.2676,5.5000,7.6104,6,USD
135,10070-1,Reindeer,2002,227,26,5.0576,2.7500,11.2500,5,USD
136,10071-1,Mr. Bunny,2003,229,25,2.8913,1.5000,5.0000,7,USD
137,10072-1,TECHNIC Beams,2003,256,56,0.0000,0.0000,0.0000,0,USD
138,10073-1,Bushes,2003,256,130,0.0000,0.0000,0.0000,0,USD
139,10074-1,Cross Axles,2003,256,68,0.0000,0.0000,0.0000,0,USD
140,10075-1,Spider-Man Action Pack,2002,706,25,0.0000,0.0000,0.0000,0,USD
141,10076-1,TECHNIC Gear Wheels,2002,256,40,0.0000,0.0000,0.0000,0,USD
142,10077-1,TECHNIC Motor,2003,256,55,0.0000,0.0000,0.0000,0,USD
143,10078-1,Train Connection Wire,2003,257,1,80.2500,80.2500,80.2500,2,USD
144,10079-1,Snowman,2003,227,42,5.9880,3.0000,11.2500,9,USD
145,10080-1,Angel,2003,227,33,7.8860,6.0000,11.2500,4,USD
146,10081-1,Birthday Pack Heart,2004,500,70,0.0000,0.0000,0.0000,0,USD
147,10082-1,Birthday Pack Daisy,2004,500,70,0.0000,0.0000,0.0000,0,USD
148,10083-1,Birthday Pack Star,2004,500,70,0.0000,0.0000,0.0000,0,USD
149,10090-1,Turkey,2003,231,54,10.0414,8.0000,14.7998,6,USD
150,100STORES-1,100 LEGO Stores North America,2019,408,5,0.0,0.0,0.0,0.0,none
151,10106-1,Snowflake,2006,227,107,29.5997,29.5997,29.5997,1,USD
152,101-1,4.5V Battery Case,1969,243,1,19.1500,14.0000,24.3000,2,USD
153,1011-1,Number/Symbol Blocks,1976,516,100,0.0000,0.0000,0.0000,0,USD
154,10111-1,Foliferous Tree,2001,254,10,0.0000,0.0000,0.0000,0,USD
155,10112-1,Bush,2001,254,25,0.0000,0.0000,0.0000,0,USD
156,10113-1,Cypress Trees,2001,254,5,0.0000,0.0000,0.0000,0,USD
157,10114-1,2 x 2 Sand Red Roof Tiles,2001,254,100,0.0000,0.0000,0.0000,0,USD
158,10115-1,Jumper Bricks,2001,254,80,0.0000,0.0000,0.0000,0,USD
159,10116-1,Accessories Heart,2004,500,50,0.0000,0.0000,0.0000,0,USD
160,10117-1,Accessories Daisy,2004,500,50,0.0000,0.0000,0.0000,0,USD
161,10118-1,Accessories Star,2004,500,50,0.0000,0.0000,0.0000,0,USD
162,101-2,Imagination Set 1,1971,366,298,0.0000,0.0000,0.0000,0,USD
163,10121-1,NBA Basketball Teams,2003,459,16,0.0000,0.0000,0.0000,0,USD
164,10123-1,Cloud City,2003,171,707,994.4114,799.0892,1302.3861,7,USD
165,10124-1,Wright Flyer,2003,673,663,263.6896,198.8990,354.0122,13,USD
166,10127-1,NHL Action Set with Stickers,2003,461,61,0.0000,0.0000,0.0000,0,USD
167,10128-1,Train Level Crossing,2003,239,326,150.0876,145.0000,153.8000,4,USD
168,10129-1,Rebel Snowspeeder - UCS,2003,171,1457,694.6683,391.4008,1124.7880,18,USD
169,101-3,4.5V Battery Case,1966,243,1,18.4045,5.9081,28.5129,5,USD
170,1013-1,Numbers (6 Symbols),1985,516,0,0.0000,0.0000,0.0000,0,USD
171,10131-1,TIE Fighter Collection,2004,171,688,176.7652,129.6520,225.0000,19,USD
172,10132-1,Motorized Hogwarts Express,2004,246,712,556.3551,494.6742,600.0000,5,USD
173,10133-1,Burlington Northern Santa Fe Locomotive,2004,236,409,284.4104,220.0000,325.5965,7,USD
174,10134-1,Y-wing Attack Starfighter - UCS,2004,171,1490,506.7684,225.0000,1124.7880,33,USD
175,10135-1,Clikits Holiday Decoration Kit,2004,500,175,0.0000,0.0000,0.0000,0,USD
176,10143-1,Death Star II,2005,171,3460,1327.5435,692.8942,2499.9900,13,USD
177,10144-1,Sandcrawler,2005,171,1680,299.8116,220.0000,1010.0000,21,USD
178,10145-1,Assorted Light Gray Bricks,2004,254,124,12.0000,12.0000,12.0000,1,USD
179,10146-1,Assorted Dark Gray Bricks,2004,254,62,0.0000,0.0000,0.0000,0,USD
180,10147-1,Assorted Brown Bricks,2004,254,62,0.0000,0.0000,0.0000,0,USD
181,10148-1,Assorted Light Gray Plates,2004,254,84,12.0000,12.0000,12.0000,1,USD
182,10149-1,Assorted Dark Gray Plates,2004,254,42,0.0000,0.0000,0.0000,0,USD
183,10150-1,Assorted Brown Plates,2004,254,42,0.0000,0.0000,0.0000,0,USD
184,10151-1,Hot Rod,2004,278,421,144.4417,108.8834,180.0000,2,USD
185,10152-1,Maersk Sealand Container Ship 2004 Edition,2004,673,988,132.9031,1.9900,318.2383,20,USD
186,10152-2,Maersk Sealand Container Ship 2005 Edition,2005,673,988,197.1994,177.5981,225.0000,3,USD
187,10152-3,Maersk Line Container Ship 2006 Edition,2006,673,988,219.0377,219.0377,219.0377,1,USD
188,10153-1,Electric Train Motor 9V (My Own Train),2002,244,3,69.0908,60.0000,78.2447,10,USD
189,10155-1,Maersk Line Container Ship 2010 Edition,2010,673,990,172.3266,145.1778,278.0000,8,USD
190,10156-1,LEGO Truck,2004,85,104,33.6952,20.3646,100.0000,9,USD
191,10157-1,High Speed Train Locomotive,2004,239,143,108.1250,85.0000,131.2500,2,USD
192,10158-1,High Speed Train Car,2004,239,152,0.0000,0.0000,0.0000,0,USD
193,10159-1,City Airport,2004,53,914,212.4100,175.0000,285.8147,6,USD
194,10159-2,City Airport (Full Size Image Box),2004,68,914,195.2818,175.0000,230.8775,4,USD
195,10160-1,Black Ridge Roof Tiles,2004,254,48,0.0000,0.0000,0.0000,0,USD
196,10161-1,Black Roof Tiles,2004,254,76,12.0000,12.0000,12.0000,1,USD
197,10162-1,Red Ridge Tiles,2004,254,48,0.0000,0.0000,0.0000,0,USD
198,10163-1,Red Roof Tiles,2004,254,76,9.3354,9.3354,9.3354,1,USD
199,10165-1,Elf Boy,2004,227,27,3.9300,3.2500,5.0000,3,USD
200,10166-1,Elf Girl,2004,227,31,0.0000,0.0000,0.0000,0,USD
201,10167-1,Brickmaster Kit (with Digital Designer CD),2004,301,182,0.0000,0.0000,0.0000,0,USD
202,10168-1,Mrs. Bunny,2005,229,64,4.7359,4.7359,4.7359,1,USD
203,10169-1,Chicken & Chicks,2005,229,60,7.9560,7.9560,7.9560,1,USD
204,10170-1,TTX Intermodal Double-Stack Car,2005,236,365,166.5667,130.2315,201.7443,5,USD
205,10173-1,Holiday Train,2006,673,969,411.6461,260.0000,827.6072,11,USD
206,10174-1,Imperial AT-ST - UCS,2006,171,1069,295.5084,222.2200,384.7959,17,USD
207,10175-1,Vader's TIE Advanced - UCS,2006,171,1212,484.3205,400.0000,621.5934,16,USD
208,10176-1,Royal King's Castle,2006,197,877,0.0000,0.0000,0.0000,0,USD
209,10177-1,Boeing 787 Dreamliner,2006,673,1196,346.9420,249.0000,507.7120,15,USD
210,10178-1,Motorized Walking AT-AT,2007,171,1137,347.1691,222.2200,533.4499,29,USD
211,10179-1,Millennium Falcon - UCS,2007,171,5195,1614.3453,650.0000,3977.9793,47,USD
212,10181-1,Eiffel Tower 1:300,2007,673,3428,838.2576,475.0000,1775.9810,24,USD
213,10182-1,Cafe Corner,2007,155,2058,1104.4448,550.0000,2175.9087,15,USD
214,10183-1,Hobby Train,2007,397,1080,297.1557,236.7975,384.5018,5,USD
215,10184-1,Town Plan,2008,104,2017,282.1987,200.0000,371.5991,16,USD
216,10185-1,Green Grocer,2008,155,2358,938.9102,769.5918,1183.6322,10,USD
217,10186-1,General Grievous,2008,171,1084,237.7260,160.0000,326.3863,7,USD
218,10187-1,Volkswagen Beetle (VW Beetle),2008,673,1626,504.0998,355.1962,745.9120,16,USD
219,10188-1,Death Star,2008,171,3814,545.4197,318.7493,1800.8000,28,USD
220,10189-1,Taj Mahal,2008,673,5922,824.1785,275.0000,2366.7907,34,USD
221,10190-1,Market Street,2007,155,1250,736.8728,461.7551,1450.6058,34,USD
222,10191-1,Star Justice,2008,397,892,0.0000,0.0000,0.0000,0,USD
223,10192-1,Space Skulls,2008,397,957,46.1798,45.0000,47.3595,2,USD
224,10193-1,Medieval Market Village,2009,193,1619,298.1275,235.0000,397.8545,6,USD
225,10194-1,Emerald Night,2009,673,1089,534.1858,400.0000,709.2084,11,USD
226,10195-1,Republic Dropship with AT-OT,2009,171,1757,822.4616,504.6864,1253.8086,13,USD
